title,eclass_count,extraction_time,optimized_cost,optimized_rel_error,rel_cost_decrease,classification_accuracy
lenet::0::1::None,115,89431,59348,0.0,0.0,0.9856
lenet::1::1::None,115,103787,59348,0.0,0.0,0.9856
lenet::2::1::None,115,98870,37102,0.04477395315660425,0.37482954775224103,0.9847
lenet::3::1::None,115,106434,22621,0.06677084258927289,0.6188317045224776,0.9839
lenet::4::1::None,115,108288,12038,0.24479279529961065,0.7971485980993462,0.947
lenet::0::None::[-3-0],16,97190,54996,0.0031204491705272407,0.073330188043405,0.9855
lenet::1::None::[-3-0],16,92079,54825,0.014693244328181162,0.07621149828132372,0.9856
lenet::2::None::[-3-0],16,93488,50461,0.04023727097871793,0.14974388353440723,0.9848
lenet::3::None::[-3-0],16,93456,20823,0.08728559992884097,0.6491372919053717,0.9819
lenet::4::None::[-3-0],16,95419,20823,0.09130349714895344,0.6491372919053717,0.9815
lenet::0::1::[-3-0],1229,104954,55535,0.0026679523181320714,0.06424816337534542,0.9857
lenet::1::1::[-3-0],1229,105133,54825,0.01736089285756922,0.07621149828132372,0.9854
lenet::2::1::[-3-0],1229,105253,34086,0.049542233470921036,0.42565099413628094,0.9839
lenet::3::1::[-3-0],1229,92356,18497,0.0830483570397223,0.6883239704792073,0.9832
lenet::4::1::[-3-0],1229,96846,10809,0.21331843465021105,0.8178695794298039,0.9592
