title,eclass_count,generation,extraction_time,optimized_cost,optimized_rel_error,rel_cost_decrease,classification_accuracy
mlp::0::1::None,124,6,25240,73790,0.0004690595606282457,0.07322280833961316,0.9702
mlp::1::1::None,124,6,21873,73790,0.0004690595606282457,0.07322280833961316,0.9702
mlp::2::1::None,124,6,19612,63170,0.09409745035331482,0.20660638030645567,0.9703
mlp::3::1::None,124,6,18617,36620,0.23701807595485114,0.540065310223562,0.9601
mlp::0::None::[-3-0],11,6,17157,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::1::None::[-3-0],11,6,18232,53806,0.006418503301179043,0.3242150213514192,0.9703
mlp::2::None::[-3-0],11,6,17203,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::3::None::[-3-0],11,6,16983,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::0::1::[-3-0],124,8,22891,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::1::1::[-3-0],124,8,22101,53806,0.006440825751042475,0.3242150213514192,0.9703
mlp::2::1::[-3-0],124,12,39583,45424,0.09862274801739905,0.4294900778698819,0.9705
mlp::3::1::[-3-0],124,9,29103,24338,0.24420828457578805,0.694323034413464,0.9593
